,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Bathsheba,75,BB,1562850255,62,13.22,-59.52,86.0,18.34
1,Port Elizabeth,40,US,1562850256,83,39.31,-74.98,82.0,6.93
2,Auki,97,NG,1562850257,55,12.18,6.51,86.15,12.17
3,Barrow,100,AR,1562850082,87,-38.31,-60.23,46.37,3.98
4,Clyde River,90,CA,1562850188,81,70.47,-68.59,44.6,14.99
5,New Norfolk,20,AU,1562850150,61,-42.78,147.06,48.2,17.22
6,Ushuaia,90,AR,1562850088,93,-54.81,-68.31,37.4,13.87
7,Sao Joao da Barra,0,BR,1562850133,68,-21.64,-41.05,71.6,6.93
8,Albany,1,US,1562849999,94,42.65,-73.75,79.0,3.36
9,Bilma,61,NE,1562850267,4,18.69,12.92,105.23,12.5
10,Santiago del Estero,2,AR,1562850040,89,-27.8,-64.26,56.63,5.32
11,Hobart,20,AU,1562849830,61,-42.88,147.33,48.2,17.22
12,Cidreira,50,BR,1562850272,71,-30.17,-50.22,61.13,2.46
13,Victoria,75,BN,1562850250,83,5.28,115.24,82.4,4.7
14,Bambous Virieux,20,MU,1562850274,57,-20.34,57.76,78.8,10.29
15,Atuona,97,PF,1562850141,79,-9.8,-139.03,80.39,14.23
16,Saldanha,0,PT,1562850277,23,41.42,-6.55,91.55,3.0
17,Chuy,71,UY,1562850279,85,-33.69,-53.46,54.47,0.69
18,Terrace,90,CA,1562850281,93,54.52,-128.61,59.0,12.75
19,Avarua,53,CK,1562849818,93,-21.21,-159.78,66.2,2.24
20,Touros,75,BR,1562850284,55,-5.2,-35.46,89.6,13.87
21,Punta Arenas,90,CL,1562850092,100,-53.16,-70.91,39.2,13.87
22,Alamos,100,AR,1562850287,92,-36.9,-62.36,45.65,4.36
23,Dong Hoi,100,VN,1562850288,70,17.48,106.6,82.73,6.89
24,Airai,57,TL,1562850125,80,-8.93,125.41,69.41,5.5
25,Mahebourg,20,MU,1562850093,57,-20.41,57.7,78.8,10.29
26,Grindavik,90,IS,1562850292,82,63.84,-22.43,55.4,3.36
27,Ayr,68,AU,1562850293,92,-19.58,147.4,62.93,0.98
28,North Bend,90,US,1562850295,100,43.41,-124.22,63.0,5.82
29,Masty,75,BY,1562850297,63,53.42,24.54,64.4,8.95
30,Khorixas,0,NA,1562850298,7,-20.37,14.96,86.15,3.8
31,Cape Town,75,ZA,1562850249,67,-33.93,18.42,64.0,8.05
32,Diamantino,7,BR,1562850301,47,-14.4,-56.44,73.37,4.56
33,Arlit,39,NE,1562850302,12,18.74,7.39,106.49,4.34
34,Khatanga,84,RU,1562850110,47,71.98,102.47,56.45,12.88
35,Saint-Leu,40,RE,1562850305,65,-21.15,55.28,78.8,5.82
36,Ayabaca,0,PE,1562850306,76,-4.64,-79.72,60.59,1.86
37,Hamilton,90,CA,1562850146,94,43.26,-79.87,80.01,10.29
38,Kapaa,40,US,1562849989,78,22.08,-159.32,78.8,8.05
39,Souillac,0,FR,1562850311,37,45.6,-0.6,88.0,5.82
40,Guerrero Negro,0,MX,1562850139,85,27.97,-114.04,66.71,17.72
41,Coxim,2,BR,1562850314,47,-18.5,-54.75,70.13,7.99
42,Rawson,5,AR,1562850315,75,-43.3,-65.11,43.31,12.01
43,Puerto Ayora,40,EC,1562850111,83,-0.74,-90.35,69.8,13.87
44,San Patricio,99,PY,1562850318,75,-26.98,-56.83,64.37,9.42
45,Vaini,75,IN,1562850081,100,15.34,74.49,77.0,4.7
46,Camrose,90,CA,1562850321,100,53.01,-112.84,55.99,4.7
47,Benguela,0,AO,1562850323,73,-12.58,13.4,75.2,9.17
48,Bredasdorp,0,ZA,1562850324,59,-34.53,20.04,66.2,17.22
49,Rikitea,7,PF,1562850113,83,-23.12,-134.97,73.19,18.32
50,Castro,90,CL,1562850327,100,-42.48,-73.76,44.6,9.17
51,Lagos,99,NG,1562850074,76,6.46,3.39,82.19,11.36
52,Bethel,20,US,1562850257,100,60.79,-161.76,64.4,5.82
53,Yellowknife,20,CA,1562850088,81,62.45,-114.38,50.0,4.7
54,Lindi,40,TZ,1562850332,51,-10.0,39.71,84.2,11.41
55,Pemberton,43,AU,1562850068,93,-34.44,116.03,52.0,2.48
56,Puri,31,ID,1562850335,79,-7.54,112.45,72.47,12.35
57,Mataura,0,NZ,1562850114,96,-46.19,168.86,44.01,4.0
